File Size,Record Size,Num Threads,Frequency,Time Estimate
16384,1024,32,1.6,23.61
4096,4096,32,1.6,17.3325
8192,4096,32,1.6,19.425
12288,4096,32,1.6,21.5175
16384,4096,32,1.6,23.61
8192,8192,32,1.6,19.425
16384,8192,32,1.6,23.61
12288,12288,32,1.6,21.5175
16384,16384,32,1.6,23.61
4,4,40,1.6,15.24255432
16,4,40,1.6,15.25021729
64,4,40,1.6,15.28086914
256,4,40,1.6,15.40347656
1024,4,40,1.6,15.89390625
4096,4,40,1.6,17.855625
8192,4,40,1.6,20.47125
12288,4,40,1.6,23.086875
16384,4,40,1.6,25.7025
16,16,40,1.6,15.25021729
64,16,40,1.6,15.28086914
256,16,40,1.6,15.40347656
1024,16,40,1.6,15.89390625
4096,16,40,1.6,17.855625
8192,16,40,1.6,20.47125
12288,16,40,1.6,23.086875
16384,16,40,1.6,25.7025
64,64,40,1.6,15.28086914
256,64,40,1.6,15.40347656
1024,64,40,1.6,15.89390625
4096,64,40,1.6,17.855625
8192,64,40,1.6,20.47125
12288,64,40,1.6,23.086875
16384,64,40,1.6,25.7025
256,256,40,1.6,15.40347656
1024,256,40,1.6,15.89390625
4096,256,40,1.6,17.855625
8192,256,40,1.6,20.47125
12288,256,40,1.6,23.086875
16384,256,40,1.6,25.7025
1024,1024,40,1.6,15.89390625
4096,1024,40,1.6,17.855625
8192,1024,40,1.6,20.47125
12288,1024,40,1.6,23.086875
16384,1024,40,1.6,25.7025
4096,4096,40,1.6,17.855625
8192,4096,40,1.6,20.47125
12288,4096,40,1.6,23.086875
16384,4096,40,1.6,25.7025
8192,8192,40,1.6,20.47125
16384,8192,40,1.6,25.7025
12288,12288,40,1.6,23.086875
16384,16384,40,1.6,25.7025
4,4,48,1.6,15.24306519
16,4,48,1.6,15.25226074
64,4,48,1.6,15.28904297
256,4,48,1.6,15.43617188
1024,4,48,1.6,16.0246875
4096,4,48,1.6,18.37875
8192,4,48,1.6,21.5175
12288,4,48,1.6,24.65625
16384,4,48,1.6,27.795
16,16,48,1.6,15.25226074
64,16,48,1.6,15.28904297
256,16,48,1.6,15.43617188
1024,16,48,1.6,16.0246875
4096,16,48,1.6,18.37875
8192,16,48,1.6,21.5175
12288,16,48,1.6,24.65625
16384,16,48,1.6,27.795
64,64,48,1.6,15.28904297
256,64,48,1.6,15.43617188
1024,64,48,1.6,16.0246875
4096,64,48,1.6,18.37875
8192,64,48,1.6,21.5175
12288,64,48,1.6,24.65625
16384,64,48,1.6,27.795
256,256,48,1.6,15.43617188
1024,256,48,1.6,16.0246875
4096,256,48,1.6,18.37875
8192,256,48,1.6,21.5175
12288,256,48,1.6,24.65625
16384,256,48,1.6,27.795
1024,1024,48,1.6,16.0246875
4096,1024,48,1.6,18.37875
8192,1024,48,1.6,21.5175
12288,1024,48,1.6,24.65625
16384,1024,48,1.6,27.795
4096,4096,48,1.6,18.37875
8192,4096,48,1.6,21.5175
12288,4096,48,1.6,24.65625
16384,4096,48,1.6,27.795
8192,8192,48,1.6,21.5175
16384,8192,48,1.6,27.795
12288,12288,48,1.6,24.65625
16384,16384,48,1.6,27.795
4,4,56,1.6,15.24357605
16,4,56,1.6,15.2543042
64,4,56,1.6,15.2972168
256,4,56,1.6,15.46886719
1024,4,56,1.6,16.15546875
4096,4,56,1.6,18.901875
8192,4,56,1.6,22.56375
12288,4,56,1.6,26.225625
16384,4,56,1.6,29.8875
16,16,56,1.6,15.2543042
64,16,56,1.6,15.2972168
256,16,56,1.6,15.46886719
1024,16,56,1.6,16.15546875
4096,16,56,1.6,18.901875
8192,16,56,1.6,22.56375
12288,16,56,1.6,26.225625
16384,16,56,1.6,29.8875
64,64,56,1.6,15.2972168
256,64,56,1.6,15.46886719
1024,64,56,1.6,16.15546875
4096,64,56,1.6,18.901875
8192,64,56,1.6,22.56375
12288,64,56,1.6,26.225625
16384,64,56,1.6,29.8875
256,256,56,1.6,15.46886719
1024,256,56,1.6,16.15546875
4096,256,56,1.6,18.901875
8192,256,56,1.6,22.56375
12288,256,56,1.6,26.225625
16384,256,56,1.6,29.8875
1024,1024,56,1.6,16.15546875
4096,1024,56,1.6,18.901875
8192,1024,56,1.6,22.56375
12288,1024,56,1.6,26.225625
16384,1024,56,1.6,29.8875
4096,4096,56,1.6,18.901875
8192,4096,56,1.6,22.56375
12288,4096,56,1.6,26.225625
16384,4096,56,1.6,29.8875
8192,8192,56,1.6,22.56375
16384,8192,56,1.6,29.8875
12288,12288,56,1.6,26.225625
16384,16384,56,1.6,29.8875
4,4,64,1.6,15.24408691
16,4,64,1.6,15.25634766
64,4,64,1.6,15.30539063
256,4,64,1.6,15.5015625
1024,4,64,1.6,16.28625
4096,4,64,1.6,19.425
8192,4,64,1.6,23.61
12288,4,64,1.6,27.795
16384,4,64,1.6,31.98
16,16,64,1.6,15.25634766
64,16,64,1.6,15.30539063
256,16,64,1.6,15.5015625
1024,16,64,1.6,16.28625
4096,16,64,1.6,19.425
8192,16,64,1.6,23.61
12288,16,64,1.6,27.795
16384,16,64,1.6,31.98
64,64,64,1.6,15.30539063
256,64,64,1.6,15.5015625
1024,64,64,1.6,16.28625
4096,64,64,1.6,19.425
8192,64,64,1.6,23.61
12288,64,64,1.6,27.795
16384,64,64,1.6,31.98
256,256,64,1.6,15.5015625
1024,256,64,1.6,16.28625
4096,256,64,1.6,19.425
8192,256,64,1.6,23.61
12288,256,64,1.6,27.795
16384,256,64,1.6,31.98
1024,1024,64,1.6,16.28625
4096,1024,64,1.6,19.425
8192,1024,64,1.6,23.61
12288,1024,64,1.6,27.795
16384,1024,64,1.6,31.98
4096,4096,64,1.6,19.425
8192,4096,64,1.6,23.61
12288,4096,64,1.6,27.795
16384,4096,64,1.6,31.98
8192,8192,64,1.6,23.61
16384,8192,64,1.6,31.98
12288,12288,64,1.6,27.795
16384,16384,64,1.6,31.98
4,4,1,2,15.24006386
16,4,1,2,15.24025543
64,4,1,2,15.24102173
256,4,1,2,15.24408691
1024,4,1,2,15.25634766
4096,4,1,2,15.30539063
8192,4,1,2,15.37078125
12288,4,1,2,15.43617188
16384,4,1,2,15.5015625
16,16,1,2,15.24025543
64,16,1,2,15.24102173
256,16,1,2,15.24408691
1024,16,1,2,15.25634766
4096,16,1,2,15.30539063
8192,16,1,2,15.37078125
12288,16,1,2,15.43617188
16384,16,1,2,15.5015625
64,64,1,2,15.24102173
256,64,1,2,15.24408691
1024,64,1,2,15.25634766
4096,64,1,2,15.30539063
8192,64,1,2,15.37078125
12288,64,1,2,15.43617188
16384,64,1,2,15.5015625
256,256,1,2,15.24408691
1024,256,1,2,15.25634766
4096,256,1,2,15.30539063
8192,256,1,2,15.37078125
12288,256,1,2,15.43617188
16384,256,1,2,15.5015625
1024,1024,1,2,15.25634766
4096,1024,1,2,15.30539063
8192,1024,1,2,15.37078125
12288,1024,1,2,15.43617188
16384,1024,1,2,15.5015625
4096,4096,1,2,15.30539063
8192,4096,1,2,15.37078125
12288,4096,1,2,15.43617188
16384,4096,1,2,15.5015625
8192,8192,1,2,15.37078125
16384,8192,1,2,15.5015625
12288,12288,1,2,15.43617188
16384,16384,1,2,15.5015625
4,4,8,2,15.24051086
16,4,8,2,15.24204346
64,4,8,2,15.24817383
256,4,8,2,15.27269531
1024,4,8,2,15.37078125
4096,4,8,2,15.763125
8192,4,8,2,16.28625
12288,4,8,2,16.809375
16384,4,8,2,17.3325
16,16,8,2,15.24204346
64,16,8,2,15.24817383
256,16,8,2,15.27269531
1024,16,8,2,15.37078125
4096,16,8,2,15.763125
8192,16,8,2,16.28625
12288,16,8,2,16.809375
16384,16,8,2,17.3325
64,64,8,2,15.24817383
256,64,8,2,15.27269531
1024,64,8,2,15.37078125
4096,64,8,2,15.763125
8192,64,8,2,16.28625
12288,64,8,2,16.809375
16384,64,8,2,17.3325
256,256,8,2,15.27269531
1024,256,8,2,15.37078125
4096,256,8,2,15.763125
8192,256,8,2,16.28625
12288,256,8,2,16.809375
16384,256,8,2,17.3325
1024,1024,8,2,15.37078125
4096,1024,8,2,15.763125
8192,1024,8,2,16.28625
12288,1024,8,2,16.809375
16384,1024,8,2,17.3325
4096,4096,8,2,15.763125
8192,4096,8,2,16.28625
12288,4096,8,2,16.809375
16384,4096,8,2,17.3325
8192,8192,8,2,16.28625
16384,8192,8,2,17.3325
12288,12288,8,2,16.809375
