Policy,Max Steps,Adaptive,Min Changes,Max Changes,Avg Changes,L2
Adaptive,1000,500.0,1,4,1.2727272727272727,0.048684228318683555
Adaptive,1000,500.0,1,1,1.0,0.0011276547799999133
Adaptive,1000,500.0,1,4,2.0,0.06083038874935649
Adaptive,1000,500.0,1,1,1.0,0.04160410239624828
Adaptive,1000,500.0,1,4,1.75,5.891054436378526
Adaptive,1000,500.0,1,1,1.0,0.04940016419755767
Adaptive,1000,500.0,1,1,1.0,0.004248132969188906
Adaptive,1000,500.0,1,1,1.0,0.0049798342294538655
Adaptive,1000,500.0,1,4,1.75,0.0012477446450937489
Adaptive,1000,500.0,1,4,1.3333333333333333,0.0025064182913804665
Adaptive,1000,500.0,1,4,2.2,0.0012073539557311565
Adaptive,1000,500.0,1,4,1.375,0.00521521706616385
Adaptive,1000,500.0,1,1,1.0,0.04415741511190295
Adaptive,1000,500.0,1,4,1.5454545454545454,0.20504291660523524
Adaptive,1000,500.0,1,4,1.5,0.10958345437254383
Adaptive,1000,500.0,1,1,1.0,1.383519137857049
Adaptive,1000,500.0,1,1,1.0,0.1753167940865062
Adaptive,1000,500.0,1,1,1.0,0.2977107249594969
Adaptive,1000,500.0,1,4,1.4285714285714286,0.20551064539932568
Adaptive,1000,500.0,1,1,1.0,9.793148214611717e-06
Adaptive,1000,500.0,1,1,1.0,0.006259492339573523
Adaptive,1000,500.0,1,1,1.0,0.0019267122060305229
Adaptive,1000,500.0,1,1,1.0,0.011370546264393934
Adaptive,1000,500.0,1,1,1.0,0.00025224782895586043
Adaptive,1000,500.0,1,4,1.4444444444444444,0.01763353438510521
Adaptive,1000,500.0,1,4,1.3333333333333333,0.8045767636075543
Adaptive,1000,500.0,1,1,1.0,0.6522040820564964
Adaptive,1000,500.0,1,4,1.6,0.4716826491507646
Adaptive,1000,500.0,1,1,1.0,2.2293981065355702e-05
Adaptive,1000,500.0,1,4,1.375,0.046574231557657476
Adaptive,1000,500.0,1,1,1.0,1.2815117888074103
Adaptive,1000,500.0,1,4,1.4285714285714286,1.182978282188185
Adaptive,1000,500.0,1,4,1.375,0.0028334067266179365
Adaptive,1000,500.0,1,1,1.0,0.0007972651663783455
Adaptive,1000,500.0,1,4,1.6,0.0002817244225305054
Adaptive,1000,500.0,1,1,1.0,0.00840330813656315
Adaptive,1000,500.0,1,4,1.3333333333333333,0.014147261404886898
Adaptive,1000,500.0,1,1,1.0,0.0532209311774882
Adaptive,1000,500.0,1,1,1.0,0.00010116277774631989
Adaptive,1000,500.0,1,1,1.0,0.026226907146339302
Adaptive,1000,500.0,1,4,1.375,2.7522486701273827
Adaptive,1000,500.0,1,1,1.0,0.008475995897352004
