Machine,Store,Journal,Hyp,Hyp_Sched,VM_Sched,RCU,F_size,R_Size,Threads,Mode,Freq,Throughput
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,3881224.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4770959.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,3653581.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4620704.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4460953.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4726861.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4107987.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4950596.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4997238.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,3846530.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4424338.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4650188.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4504973.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4163332.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4139622.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4708813.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4718618.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4875525.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4732611.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4896922.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4378719.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4922603.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4967755.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4831990.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4704381.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4357986.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4675442.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4915058.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4749423.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4722593.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4570742.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4668293.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4934689.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4517078.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4781297.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4950596.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4512507.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4736531.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4924246.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,3987641.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4651781.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4906829.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4469920.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4902625.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4516285.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4567950.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4127393.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4427755.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4894775.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4516285.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6373578.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6029337.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6144814.69
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6216248.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5902882.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5423273.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6176960.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5563051.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5778312.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,6653222.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,4506117.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5838811.38
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,3745147.06
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5940346.12
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5821403.88
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,3,Fread,1200000,5817709.5
