Num nodes,Trial Number,Seed,Method,L2,Percentile 000,Percentile 025,Percentile 050,Percentile 075,Percentile 100
16,64,0,Quadratic Fill,0.3328615737802751,0.19531752237312883,0.20020100312954325,0.2060501492457762,0.2121347711781739,0.2177246793830825
16,64,0,Quadratic Regres,0.3350549624727904,0.19531752237312883,0.2058630214659212,0.20837736596354922,0.20987337258003358,0.2177246793830825
16,64,0,Quintic Interp,0.3343721515728495,0.19531752237312883,0.21076374689436767,0.21549694382204615,0.21686608183276504,0.2177246793830825
16,65,0,Quadratic Fill,0.2175631190637097,0.003510696044525141,0.06650164151729449,0.1206806285500816,0.16416072536513934,0.19505500018472055
16,65,0,Quadratic Regres,0.2182103602063881,0.003510696044525141,0.038916474631821796,0.09521945781081721,0.15397243286166062,0.19505500018472055
16,65,0,Quintic Interp,0.22041026411840187,0.003510696044525141,0.10451356696941488,0.15738467390599206,0.1822297617586113,0.19505500018472055
16,66,0,Quadratic Fill,0.14729655545597348,0.0841018432522711,0.08787822809276677,0.10209285138708254,0.11623911592878232,0.11992758304959594
16,66,0,Quadratic Regres,0.14793082719572673,0.0841018432522711,0.09256656639551697,0.10099563863960911,0.11002146933963995,0.11992758304959594
16,66,0,Quintic Interp,0.15157309687746018,0.0841018432522711,0.08413693429019241,0.08522253996506868,0.09260637023613692,0.11992758304959594
16,67,0,Quadratic Fill,0.23221739534764463,0.01630319946630754,0.018810984429111968,0.02840996780550209,0.03800895118189221,0.04051673614469664
16,67,0,Quadratic Regres,0.2270395418600294,0.01630319946630754,0.024717875862105235,0.025037404356762098,0.025947325493998682,0.04051673614469664
16,67,0,Quintic Interp,0.22980482981398653,0.01630319946630754,0.032853851391847835,0.039002463642684865,0.04042198062765052,0.04051673614469664
16,68,0,Quadratic Fill,0.27603090982625933,0.001961281908088419,0.08325879030916318,0.16529639260254997,0.23080478635726706,0.26597330504456207
16,68,0,Quadratic Regres,0.27393081548424336,0.001961281908088419,0.0431143132038862,0.14564927589166127,0.24147750006148175,0.26597330504456207
16,68,0,Quintic Interp,0.2752029766844837,0.001961281908088419,0.09583364782595968,0.1746785438207788,0.2327072555105713,0.26597330504456207
16,69,0,Quadratic Fill,0.3280666107697838,0.09790293216466206,0.10141966891153967,0.10495400911687769,0.10850737601749315,0.11208119285020302
16,69,0,Quadratic Regres,0.32776130900272127,0.09790293216466206,0.10075656785504443,0.10469036932384063,0.10879810669806969,0.11208119285020302
16,69,0,Quintic Interp,0.3305058466341776,0.09790293216466206,0.1011588633211541,0.10462078574655567,0.10826820877131599,0.11208119285020302
16,70,0,Quadratic Fill,0.3036424161469033,0.13568510496356856,0.13798341589048774,0.1399723009699641,0.1423830519339332,0.1449134952643405
16,70,0,Quadratic Regres,0.3019793042743555,0.13568510496356856,0.13664088514283584,0.14029930011395453,0.1439577150850732,0.1449134952643405
16,70,0,Quintic Interp,0.3041136118339094,0.13568510496356856,0.14012394649406104,0.14305280126235298,0.14454282102288396,0.1449134952643405
