,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
2112,m04,SSD,1200000,32768,1024,16,20,3,random-readers,12640820.44,20,68695616,841051019,8597918,3679964,12833587,5624071,564358097,20833,2045,5254854670,862743,738448180,79905,238288,2640965619,25492
2113,m04,SSD,1200000,32768,1024,16,20,4,random-writers,7974796.81,20,68695616,841051019,8597918,3679964,12833587,5624071,564358097,20833,2045,5254854670,862743,738448180,79905,238288,2640965619,25492
4512,m04,SSD,1200000,32768,1024,16,21,1,initial-writers,7449215.62,21,77360005,803529390,8562000,4496500,13864556,6045802,587363279,21064,2081,6162414946,738241,806744749,66341,155105,2875800759,25314
4513,m04,SSD,1200000,32768,1024,16,21,2,rewriters,6358632.69,21,77360005,803529390,8562000,4496500,13864556,6045802,587363279,21064,2081,6162414946,738241,806744749,66341,155105,2875800759,25314
4514,m04,SSD,1200000,32768,1024,16,21,3,random-readers,13343126.47,21,77360005,803529390,8562000,4496500,13864556,6045802,587363279,21064,2081,6162414946,738241,806744749,66341,155105,2875800759,25314
4515,m04,SSD,1200000,32768,1024,16,21,4,random-writers,8028951.81,21,77360005,803529390,8562000,4496500,13864556,6045802,587363279,21064,2081,6162414946,738241,806744749,66341,155105,2875800759,25314
4074,m04,SSD,1200000,32768,1024,16,22,1,initial-writers,7363740.06,21,78506686,829365663,8952852,3981052,13350884,5628261,562933242,21253,2165,5784818657,846300,842028937,91026,226737,2695241657,25498
4075,m04,SSD,1200000,32768,1024,16,22,2,rewriters,7369603.44,21,78506686,829365663,8952852,3981052,13350884,5628261,562933242,21253,2165,5784818657,846300,842028937,91026,226737,2695241657,25498
4076,m04,SSD,1200000,32768,1024,16,22,3,random-readers,11975612.33,21,78506686,829365663,8952852,3981052,13350884,5628261,562933242,21253,2165,5784818657,846300,842028937,91026,226737,2695241657,25498
4077,m04,SSD,1200000,32768,1024,16,22,4,random-writers,7667770.47,21,78506686,829365663,8952852,3981052,13350884,5628261,562933242,21253,2165,5784818657,846300,842028937,91026,226737,2695241657,25498
1408,m04,SSD,1200000,32768,1024,16,23,1,initial-writers,7960021.22,20,75575376,824990207,8508637,3922728,13407089,5656022,547269145,21415,2854,5647043653,847207,805725803,96444,261107,2678095624,25572
1409,m04,SSD,1200000,32768,1024,16,23,2,rewriters,7189725.91,20,75575376,824990207,8508637,3922728,13407089,5656022,547269145,21415,2854,5647043653,847207,805725803,96444,261107,2678095624,25572
1410,m04,SSD,1200000,32768,1024,16,23,3,random-readers,13679444.66,20,75575376,824990207,8508637,3922728,13407089,5656022,547269145,21415,2854,5647043653,847207,805725803,96444,261107,2678095624,25572
1411,m04,SSD,1200000,32768,1024,16,23,4,random-writers,8394034.17,20,75575376,824990207,8508637,3922728,13407089,5656022,547269145,21415,2854,5647043653,847207,805725803,96444,261107,2678095624,25572
7308,m04,SSD,1200000,32768,1024,16,24,1,initial-writers,7883364.09,21,79867182,820938069,8632748,4637201,13832248,5736275,583362107,20866,2162,5855560483,619544,804143167,57082,110087,2853706238,25436
7309,m04,SSD,1200000,32768,1024,16,24,2,rewriters,6911038.25,21,79867182,820938069,8632748,4637201,13832248,5736275,583362107,20866,2162,5855560483,619544,804143167,57082,110087,2853706238,25436
7310,m04,SSD,1200000,32768,1024,16,24,3,random-readers,13294028.41,21,79867182,820938069,8632748,4637201,13832248,5736275,583362107,20866,2162,5855560483,619544,804143167,57082,110087,2853706238,25436
7311,m04,SSD,1200000,32768,1024,16,24,4,random-writers,8717187.81,21,79867182,820938069,8632748,4637201,13832248,5736275,583362107,20866,2162,5855560483,619544,804143167,57082,110087,2853706238,25436
3282,m04,SSD,1200000,32768,1024,16,25,1,initial-writers,7877583.59,20,72574925,844175429,8319320,3877684,12872955,5630421,544095959,21626,2519,5435282522,762568,767502444,98057,239413,2580119002,25420
3283,m04,SSD,1200000,32768,1024,16,25,2,rewriters,7507021.73,20,72574925,844175429,8319320,3877684,12872955,5630421,544095959,21626,2519,5435282522,762568,767502444,98057,239413,2580119002,25420
3284,m04,SSD,1200000,32768,1024,16,25,3,random-readers,11647921.30,20,72574925,844175429,8319320,3877684,12872955,5630421,544095959,21626,2519,5435282522,762568,767502444,98057,239413,2580119002,25420
3285,m04,SSD,1200000,32768,1024,16,25,4,random-writers,8413144.16,20,72574925,844175429,8319320,3877684,12872955,5630421,544095959,21626,2519,5435282522,762568,767502444,98057,239413,2580119002,25420
1062,m04,SSD,1200000,32768,1024,16,26,1,initial-writers,8000139.34,20,77086428,821699878,7810340,3984406,13023413,6013898,571355042,20953,2349,5299427052,830166,756539302,71830,211294,2759652903,25507
1063,m04,SSD,1200000,32768,1024,16,26,2,rewriters,8825711.34,20,77086428,821699878,7810340,3984406,13023413,6013898,571355042,20953,2349,5299427052,830166,756539302,71830,211294,2759652903,25507
1064,m04,SSD,1200000,32768,1024,16,26,3,random-readers,12533352.72,20,77086428,821699878,7810340,3984406,13023413,6013898,571355042,20953,2349,5299427052,830166,756539302,71830,211294,2759652903,25507
1065,m04,SSD,1200000,32768,1024,16,26,4,random-writers,8485973.28,20,77086428,821699878,7810340,3984406,13023413,6013898,571355042,20953,2349,5299427052,830166,756539302,71830,211294,2759652903,25507
4900,m04,SSD,1200000,32768,1024,16,27,1,initial-writers,7846278.16,21,69165682,865470811,7514701,3688330,12527858,6004386,570740167,20995,2109,5522460655,748312,723936296,87814,202625,2683411401,24662
4901,m04,SSD,1200000,32768,1024,16,27,2,rewriters,7813798.72,21,69165682,865470811,7514701,3688330,12527858,6004386,570740167,20995,2109,5522460655,748312,723936296,87814,202625,2683411401,24662
4902,m04,SSD,1200000,32768,1024,16,27,3,random-readers,13613357.19,21,69165682,865470811,7514701,3688330,12527858,6004386,570740167,20995,2109,5522460655,748312,723936296,87814,202625,2683411401,24662
4903,m04,SSD,1200000,32768,1024,16,27,4,random-writers,7289051.78,21,69165682,865470811,7514701,3688330,12527858,6004386,570740167,20995,2109,5522460655,748312,723936296,87814,202625,2683411401,24662
3632,m04,SSD,1200000,32768,1024,16,28,1,initial-writers,7957669.09,20,79553907,791385187,9392327,4196297,15191540,5363661,529334568,21351,2423,5565803749,905961,847747497,95978,223393,2572271278,25407
3633,m04,SSD,1200000,32768,1024,16,28,2,rewriters,7681025.88,20,79553907,791385187,9392327,4196297,15191540,5363661,529334568,21351,2423,5565803749,905961,847747497,95978,223393,2572271278,25407
3634,m04,SSD,1200000,32768,1024,16,28,3,random-readers,10890053.09,20,79553907,791385187,9392327,4196297,15191540,5363661,529334568,21351,2423,5565803749,905961,847747497,95978,223393,2572271278,25407
3635,m04,SSD,1200000,32768,1024,16,28,4,random-writers,9592494.20,20,79553907,791385187,9392327,4196297,15191540,5363661,529334568,21351,2423,5565803749,905961,847747497,95978,223393,2572271278,25407
4944,m04,SSD,1200000,32768,1024,16,29,1,initial-writers,7798223.59,21,85196716,817210026,8834268,5194456,17149216,5943902,560159891,21331,3772,6279061616,752653,832468678,84110,163197,2798539915,25648
4945,m04,SSD,1200000,32768,1024,16,29,2,rewriters,7387684.03,21,85196716,817210026,8834268,5194456,17149216,5943902,560159891,21331,3772,6279061616,752653,832468678,84110,163197,2798539915,25648
4946,m04,SSD,1200000,32768,1024,16,29,3,random-readers,11357348.38,21,85196716,817210026,8834268,5194456,17149216,5943902,560159891,21331,3772,6279061616,752653,832468678,84110,163197,2798539915,25648
4947,m04,SSD,1200000,32768,1024,16,29,4,random-writers,8802468.75,21,85196716,817210026,8834268,5194456,17149216,5943902,560159891,21331,3772,6279061616,752653,832468678,84110,163197,2798539915,25648
5334,m04,SSD,1200000,32768,1024,16,30,1,initial-writers,7646511.19,21,81337246,846748004,7955544,5091956,16181428,5807536,565121398,20469,2120,6419651825,672109,762913590,49977,125662,2702939249,25735
5335,m04,SSD,1200000,32768,1024,16,30,2,rewriters,7219866.66,21,81337246,846748004,7955544,5091956,16181428,5807536,565121398,20469,2120,6419651825,672109,762913590,49977,125662,2702939249,25735
5336,m04,SSD,1200000,32768,1024,16,30,3,random-readers,11683558.62,21,81337246,846748004,7955544,5091956,16181428,5807536,565121398,20469,2120,6419651825,672109,762913590,49977,125662,2702939249,25735
5337,m04,SSD,1200000,32768,1024,16,30,4,random-writers,7246372.59,21,81337246,846748004,7955544,5091956,16181428,5807536,565121398,20469,2120,6419651825,672109,762913590,49977,125662,2702939249,25735
1536,m04,SSD,1200000,32768,1024,16,31,1,initial-writers,8040938.28,20,76209814,866702108,7066512,4749165,13834795,5995262,596792832,20518,2274,5362275565,519878,724097885,59675,163623,2832548585,25534
1537,m04,SSD,1200000,32768,1024,16,31,2,rewriters,7322236.62,20,76209814,866702108,7066512,4749165,13834795,5995262,596792832,20518,2274,5362275565,519878,724097885,59675,163623,2832548585,25534
1538,m04,SSD,1200000,32768,1024,16,31,3,random-readers,11619633.66,20,76209814,866702108,7066512,4749165,13834795,5995262,596792832,20518,2274,5362275565,519878,724097885,59675,163623,2832548585,25534
1539,m04,SSD,1200000,32768,1024,16,31,4,random-writers,8077366.30,20,76209814,866702108,7066512,4749165,13834795,5995262,596792832,20518,2274,5362275565,519878,724097885,59675,163623,2832548585,25534
8328,m04,SSD,1200000,32768,1024,16,32,1,initial-writers,8125316.34,21,89693601,825740942,8734914,5581310,18883333,5948646,555762541,21131,3483,6239155831,1051027,918715406,100997,289777,2762695770,25693
8329,m04,SSD,1200000,32768,1024,16,32,2,rewriters,7192315.31,21,89693601,825740942,8734914,5581310,18883333,5948646,555762541,21131,3483,6239155831,1051027,918715406,100997,289777,2762695770,25693
8330,m04,SSD,1200000,32768,1024,16,32,3,random-readers,12125398.00,21,89693601,825740942,8734914,5581310,18883333,5948646,555762541,21131,3483,6239155831,1051027,918715406,100997,289777,2762695770,25693
8331,m04,SSD,1200000,32768,1024,16,32,4,random-writers,7720139.81,21,89693601,825740942,8734914,5581310,18883333,5948646,555762541,21131,3483,6239155831,1051027,918715406,100997,289777,2762695770,25693
7650,m04,SSD,1200000,32768,1024,16,33,1,initial-writers,7663010.16,21,75252631,865954637,7878692,4631624,14213772,6230362,592108957,21710,2209,5710600832,615580,744050762,68278,145656,2843159208,25437
7651,m04,SSD,1200000,32768,1024,16,33,2,rewriters,8099446.28,21,75252631,865954637,7878692,4631624,14213772,6230362,592108957,21710,2209,5710600832,615580,744050762,68278,145656,2843159208,25437
7652,m04,SSD,1200000,32768,1024,16,33,3,random-readers,13521442.94,21,75252631,865954637,7878692,4631624,14213772,6230362,592108957,21710,2209,5710600832,615580,744050762,68278,145656,2843159208,25437
7653,m04,SSD,1200000,32768,1024,16,33,4,random-writers,8026566.16,21,75252631,865954637,7878692,4631624,14213772,6230362,592108957,21710,2209,5710600832,615580,744050762,68278,145656,2843159208,25437
1364,m04,SSD,1200000,32768,1024,16,34,1,initial-writers,7694526.78,20,77466183,866457237,8734870,4155257,13663778,5543325,576926321,20995,2314,5740630737,870455,723202395,74210,204201,2730563266,25500
1365,m04,SSD,1200000,32768,1024,16,34,2,rewriters,8564050.50,20,77466183,866457237,8734870,4155257,13663778,5543325,576926321,20995,2314,5740630737,870455,723202395,74210,204201,2730563266,25500
1366,m04,SSD,1200000,32768,1024,16,34,3,random-readers,12387195.38,20,77466183,866457237,8734870,4155257,13663778,5543325,576926321,20995,2314,5740630737,870455,723202395,74210,204201,2730563266,25500
1367,m04,SSD,1200000,32768,1024,16,34,4,random-writers,8140882.97,20,77466183,866457237,8734870,4155257,13663778,5543325,576926321,20995,2314,5740630737,870455,723202395,74210,204201,2730563266,25500
