,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
7311,m03,SSD,1200000,32768,1024,16,24,4,random-writers,5757515.31,20
3282,m03,SSD,1200000,32768,1024,16,25,1,initial-writers,2773956.84,21
3283,m03,SSD,1200000,32768,1024,16,25,2,rewriters,5258375.28,21
3284,m03,SSD,1200000,32768,1024,16,25,3,random-readers,12396770.89,21
3285,m03,SSD,1200000,32768,1024,16,25,4,random-writers,5552643.69,21
1062,m03,SSD,1200000,32768,1024,16,26,1,initial-writers,2736554.05,20
1063,m03,SSD,1200000,32768,1024,16,26,2,rewriters,5034532.84,20
1064,m03,SSD,1200000,32768,1024,16,26,3,random-readers,11995171.70,20
1065,m03,SSD,1200000,32768,1024,16,26,4,random-writers,5580174.22,20
4900,m03,SSD,1200000,32768,1024,16,27,1,initial-writers,2752597.50,21
4901,m03,SSD,1200000,32768,1024,16,27,2,rewriters,5438788.08,21
4902,m03,SSD,1200000,32768,1024,16,27,3,random-readers,10810859.69,21
4903,m03,SSD,1200000,32768,1024,16,27,4,random-writers,5495038.33,21
3632,m03,SSD,1200000,32768,1024,16,28,1,initial-writers,2761634.22,20
3633,m03,SSD,1200000,32768,1024,16,28,2,rewriters,5172567.34,20
3634,m03,SSD,1200000,32768,1024,16,28,3,random-readers,11531141.56,20
3635,m03,SSD,1200000,32768,1024,16,28,4,random-writers,5793902.94,20
4944,m03,SSD,1200000,32768,1024,16,29,1,initial-writers,2763765.66,21
4945,m03,SSD,1200000,32768,1024,16,29,2,rewriters,5139071.38,21
4946,m03,SSD,1200000,32768,1024,16,29,3,random-readers,13049589.67,21
4947,m03,SSD,1200000,32768,1024,16,29,4,random-writers,5509738.55,21
5334,m03,SSD,1200000,32768,1024,16,30,1,initial-writers,2812418.61,20
5335,m03,SSD,1200000,32768,1024,16,30,2,rewriters,5232016.53,20
5336,m03,SSD,1200000,32768,1024,16,30,3,random-readers,12477083.52,20
5337,m03,SSD,1200000,32768,1024,16,30,4,random-writers,5309799.81,20
1536,m03,SSD,1200000,32768,1024,16,31,1,initial-writers,2782709.84,20
1537,m03,SSD,1200000,32768,1024,16,31,2,rewriters,5309471.28,20
1538,m03,SSD,1200000,32768,1024,16,31,3,random-readers,13468377.36,20
1539,m03,SSD,1200000,32768,1024,16,31,4,random-writers,5405898.64,20
8328,m03,SSD,1200000,32768,1024,16,32,1,initial-writers,2784372.97,21
8329,m03,SSD,1200000,32768,1024,16,32,2,rewriters,4800978.11,21
8330,m03,SSD,1200000,32768,1024,16,32,3,random-readers,13508070.31,21
8331,m03,SSD,1200000,32768,1024,16,32,4,random-writers,5359015.09,21
7650,m03,SSD,1200000,32768,1024,16,33,1,initial-writers,2704652.82,20
7651,m03,SSD,1200000,32768,1024,16,33,2,rewriters,5095465.02,20
7652,m03,SSD,1200000,32768,1024,16,33,3,random-readers,11085590.61,20
7653,m03,SSD,1200000,32768,1024,16,33,4,random-writers,5319125.61,20
1364,m03,SSD,1200000,32768,1024,16,34,1,initial-writers,2747503.27,21
1365,m03,SSD,1200000,32768,1024,16,34,2,rewriters,5432075.09,21
1366,m03,SSD,1200000,32768,1024,16,34,3,random-readers,11442887.03,21
1367,m03,SSD,1200000,32768,1024,16,34,4,random-writers,5720639.03,21
460,m03,SSD,1200000,32768,1024,16,35,1,initial-writers,2718195.95,20
461,m03,SSD,1200000,32768,1024,16,35,2,rewriters,4971037.66,20
462,m03,SSD,1200000,32768,1024,16,35,3,random-readers,12062185.75,20
463,m03,SSD,1200000,32768,1024,16,35,4,random-writers,5241131.17,20
158,m03,SSD,1200000,32768,1024,16,36,1,initial-writers,2712479.71,21
159,m03,SSD,1200000,32768,1024,16,36,2,rewriters,5116168.00,21
160,m03,SSD,1200000,32768,1024,16,36,3,random-readers,12694840.17,21
161,m03,SSD,1200000,32768,1024,16,36,4,random-writers,5308050.53,21
6774,m03,SSD,1200000,32768,1024,16,37,1,initial-writers,2714917.70,21
6775,m03,SSD,1200000,32768,1024,16,37,2,rewriters,5456087.52,21
6776,m03,SSD,1200000,32768,1024,16,37,3,random-readers,13066085.88,21
6777,m03,SSD,1200000,32768,1024,16,37,4,random-writers,5854777.22,21
482,m03,SSD,1200000,32768,1024,16,38,1,initial-writers,2743930.46,21
483,m03,SSD,1200000,32768,1024,16,38,2,rewriters,5272264.03,21
484,m03,SSD,1200000,32768,1024,16,38,3,random-readers,11255774.25,21
485,m03,SSD,1200000,32768,1024,16,38,4,random-writers,5189136.67,21
488,m03,SSD,1200000,32768,1024,16,39,1,initial-writers,2719934.25,20
489,m03,SSD,1200000,32768,1024,16,39,2,rewriters,4897197.31,20
490,m03,SSD,1200000,32768,1024,16,39,3,random-readers,11409739.62,20
491,m03,SSD,1200000,32768,1024,16,39,4,random-writers,5086470.19,20
2162,m03,SSD,1200000,32768,1024,16,40,1,initial-writers,2689703.45,21
2163,m03,SSD,1200000,32768,1024,16,40,2,rewriters,5224220.78,21
2164,m03,SSD,1200000,32768,1024,16,40,3,random-readers,13330738.50,21
2165,m03,SSD,1200000,32768,1024,16,40,4,random-writers,5245459.19,21
7218,m03,SSD,1200000,32768,1024,16,41,1,initial-writers,2610719.77,21
7219,m03,SSD,1200000,32768,1024,16,41,2,rewriters,5329559.39,21
7220,m03,SSD,1200000,32768,1024,16,41,3,random-readers,11953715.00,21
7221,m03,SSD,1200000,32768,1024,16,41,4,random-writers,5492007.45,21
1166,m03,SSD,1200000,32768,1024,16,42,1,initial-writers,2741732.41,21
1167,m03,SSD,1200000,32768,1024,16,42,2,rewriters,5303972.38,21
1168,m03,SSD,1200000,32768,1024,16,42,3,random-readers,12301997.34,21
1169,m03,SSD,1200000,32768,1024,16,42,4,random-writers,5205189.53,21
5908,m03,SSD,1200000,32768,1024,16,43,1,initial-writers,2705179.23,20
5909,m03,SSD,1200000,32768,1024,16,43,2,rewriters,5110506.06,20
5910,m03,SSD,1200000,32768,1024,16,43,3,random-readers,12013457.76,20
5911,m03,SSD,1200000,32768,1024,16,43,4,random-writers,5854667.50,20
7104,m03,SSD,1200000,32768,1024,16,44,1,initial-writers,2702683.49,21
7105,m03,SSD,1200000,32768,1024,16,44,2,rewriters,4901339.21,21
7106,m03,SSD,1200000,32768,1024,16,44,3,random-readers,11542345.36,21
7107,m03,SSD,1200000,32768,1024,16,44,4,random-writers,5182958.50,21
2334,m03,SSD,1200000,32768,1024,16,45,1,initial-writers,2714873.90,21
2335,m03,SSD,1200000,32768,1024,16,45,2,rewriters,5468740.97,21
2336,m03,SSD,1200000,32768,1024,16,45,3,random-readers,12804009.48,21
2337,m03,SSD,1200000,32768,1024,16,45,4,random-writers,5502203.36,21
1824,m03,SSD,1200000,32768,1024,16,46,1,initial-writers,2735147.77,21
1825,m03,SSD,1200000,32768,1024,16,46,2,rewriters,5086584.53,21
1826,m03,SSD,1200000,32768,1024,16,46,3,random-readers,10794963.25,21
1827,m03,SSD,1200000,32768,1024,16,46,4,random-writers,5588906.61,21
3240,m03,SSD,1200000,32768,1024,16,47,1,initial-writers,2759254.16,20
3241,m03,SSD,1200000,32768,1024,16,47,2,rewriters,4926993.09,20
3242,m03,SSD,1200000,32768,1024,16,47,3,random-readers,13273226.62,20
3243,m03,SSD,1200000,32768,1024,16,47,4,random-writers,5365517.19,20
3586,m03,SSD,1200000,32768,1024,16,48,1,initial-writers,2745672.41,21
3587,m03,SSD,1200000,32768,1024,16,48,2,rewriters,5179883.19,21
3588,m03,SSD,1200000,32768,1024,16,48,3,random-readers,13068718.08,21
3589,m03,SSD,1200000,32768,1024,16,48,4,random-writers,5604743.47,21
2126,m03,SSD,1200000,32768,1024,16,49,1,initial-writers,2751643.41,21
2127,m03,SSD,1200000,32768,1024,16,49,2,rewriters,5230559.91,21
2128,m03,SSD,1200000,32768,1024,16,49,3,random-readers,11809850.12,21
2129,m03,SSD,1200000,32768,1024,16,49,4,random-writers,5680301.22,21
1152,m03,SSD,1200000,32768,1024,16,50,1,initial-writers,2817075.83,20
1153,m03,SSD,1200000,32768,1024,16,50,2,rewriters,4971793.87,20
1154,m03,SSD,1200000,32768,1024,16,50,3,random-readers,10700262.25,20
1155,m03,SSD,1200000,32768,1024,16,50,4,random-writers,5553980.19,20
3498,m03,SSD,1200000,32768,1024,16,51,1,initial-writers,2775107.86,21
3499,m03,SSD,1200000,32768,1024,16,51,2,rewriters,5305078.45,21
3500,m03,SSD,1200000,32768,1024,16,51,3,random-readers,12659634.11,21
3501,m03,SSD,1200000,32768,1024,16,51,4,random-writers,5273418.02,21
1124,m03,SSD,1200000,32768,1024,16,52,1,initial-writers,2740138.00,21
1125,m03,SSD,1200000,32768,1024,16,52,2,rewriters,4902421.09,21
1126,m03,SSD,1200000,32768,1024,16,52,3,random-readers,13977502.11,21
1127,m03,SSD,1200000,32768,1024,16,52,4,random-writers,5420188.72,21
2970,m03,SSD,1200000,32768,1024,16,53,1,initial-writers,2767036.06,21
2971,m03,SSD,1200000,32768,1024,16,53,2,rewriters,5283592.41,21
2972,m03,SSD,1200000,32768,1024,16,53,3,random-readers,10943180.72,21
2973,m03,SSD,1200000,32768,1024,16,53,4,random-writers,5592148.28,21
5558,m03,SSD,1200000,32768,1024,16,54,1,initial-writers,2705241.69,21
5559,m03,SSD,1200000,32768,1024,16,54,2,rewriters,5352886.61,21
5560,m03,SSD,1200000,32768,1024,16,54,3,random-readers,11986716.22,21
5561,m03,SSD,1200000,32768,1024,16,54,4,random-writers,5327002.08,21
8374,m03,SSD,1200000,32768,1024,16,55,1,initial-writers,2735265.47,21
8375,m03,SSD,1200000,32768,1024,16,55,2,rewriters,4940284.50,21
8376,m03,SSD,1200000,32768,1024,16,55,3,random-readers,11236276.59,21
8377,m03,SSD,1200000,32768,1024,16,55,4,random-writers,5380521.70,21
1182,m03,SSD,1200000,32768,1024,16,56,1,initial-writers,2708164.93,21
1183,m03,SSD,1200000,32768,1024,16,56,2,rewriters,4919001.42,21
1184,m03,SSD,1200000,32768,1024,16,56,3,random-readers,11975888.84,21
1185,m03,SSD,1200000,32768,1024,16,56,4,random-writers,5307070.23,21
7394,m03,SSD,1200000,32768,1024,16,57,1,initial-writers,2760973.12,21
7395,m03,SSD,1200000,32768,1024,16,57,2,rewriters,4959509.89,21
7396,m03,SSD,1200000,32768,1024,16,57,3,random-readers,12086337.41,21
7397,m03,SSD,1200000,32768,1024,16,57,4,random-writers,5519938.02,21
4768,m03,SSD,1200000,32768,1024,16,58,1,initial-writers,2741315.48,21
4769,m03,SSD,1200000,32768,1024,16,58,2,rewriters,5001251.94,21
4770,m03,SSD,1200000,32768,1024,16,58,3,random-readers,11675301.45,21
4771,m03,SSD,1200000,32768,1024,16,58,4,random-writers,5246875.12,21
4930,m03,SSD,1200000,32768,1024,16,59,1,initial-writers,2736132.06,21
4931,m03,SSD,1200000,32768,1024,16,59,2,rewriters,5408230.72,21
4932,m03,SSD,1200000,32768,1024,16,59,3,random-readers,12022907.91,21
4933,m03,SSD,1200000,32768,1024,16,59,4,random-writers,5327625.78,21
2574,m03,SSD,1200000,32768,1024,16,60,1,initial-writers,2743979.12,21
2575,m03,SSD,1200000,32768,1024,16,60,2,rewriters,5319135.14,21
2576,m03,SSD,1200000,32768,1024,16,60,3,random-readers,12602582.91,21
2577,m03,SSD,1200000,32768,1024,16,60,4,random-writers,5812793.84,21
2486,m03,SSD,1200000,32768,1024,16,61,1,initial-writers,2624980.70,20
2487,m03,SSD,1200000,32768,1024,16,61,2,rewriters,5060402.26,20
2488,m03,SSD,1200000,32768,1024,16,61,3,random-readers,11813260.16,20
2489,m03,SSD,1200000,32768,1024,16,61,4,random-writers,5653737.78,20
6610,m03,SSD,1200000,32768,1024,16,62,1,initial-writers,2698182.45,21
6611,m03,SSD,1200000,32768,1024,16,62,2,rewriters,4977976.07,21
6612,m03,SSD,1200000,32768,1024,16,62,3,random-readers,11759214.12,21
6613,m03,SSD,1200000,32768,1024,16,62,4,random-writers,5777855.94,21
2680,m03,SSD,1200000,32768,1024,16,63,1,initial-writers,2750233.47,21
2681,m03,SSD,1200000,32768,1024,16,63,2,rewriters,5514806.53,21
2682,m03,SSD,1200000,32768,1024,16,63,3,random-readers,12580752.72,21
2683,m03,SSD,1200000,32768,1024,16,63,4,random-writers,5330296.27,21
5778,m03,SSD,1200000,32768,1024,16,64,1,initial-writers,2759163.95,20
5779,m03,SSD,1200000,32768,1024,16,64,2,rewriters,4992826.16,20
5780,m03,SSD,1200000,32768,1024,16,64,3,random-readers,12250540.12,20
5781,m03,SSD,1200000,32768,1024,16,64,4,random-writers,5380756.05,20
8248,m03,SSD,1200000,32768,1024,16,65,1,initial-writers,2741417.08,21
8249,m03,SSD,1200000,32768,1024,16,65,2,rewriters,5043033.84,21
8250,m03,SSD,1200000,32768,1024,16,65,3,random-readers,10552736.70,21
8251,m03,SSD,1200000,32768,1024,16,65,4,random-writers,5500089.62,21
5368,m03,SSD,1200000,32768,1024,16,66,1,initial-writers,2754985.38,21
5369,m03,SSD,1200000,32768,1024,16,66,2,rewriters,5146187.94,21
5370,m03,SSD,1200000,32768,1024,16,66,3,random-readers,12702337.42,21
5371,m03,SSD,1200000,32768,1024,16,66,4,random-writers,5609834.73,21
8280,m03,SSD,1200000,32768,1024,16,67,1,initial-writers,2757155.05,21
8281,m03,SSD,1200000,32768,1024,16,67,2,rewriters,5030695.33,21
8282,m03,SSD,1200000,32768,1024,16,67,3,random-readers,11517208.22,21
8283,m03,SSD,1200000,32768,1024,16,67,4,random-writers,5376094.88,21
2230,m03,SSD,1200000,32768,1024,16,68,1,initial-writers,2715772.65,21
2231,m03,SSD,1200000,32768,1024,16,68,2,rewriters,4902996.86,21
