data,host,media,freq,fsize,rsize,threads,test,iter,throughput,runtime
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,101,4276064.0,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,102,4210350.08,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,103,4671500.78,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,104,3822972.14,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,105,4471315.22,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,106,3912755.97,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,107,4187702.27,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,108,4262093.36,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,109,3664100.69,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,110,3886116.77,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,111,4278840.17,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,112,4231576.88,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,113,4221064.17,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,114,4315671.27,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,115,4236562.27,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,116,4653885.69,22
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,117,4267562.38,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,118,4312767.72,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,119,3795857.23,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,120,4292624.39,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,121,3968170.36,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,122,3806498.58,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,123,4202468.84,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,124,4266274.14,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,125,4350546.55,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,126,4216098.86,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,127,4263059.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,128,4267865.5,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,129,4186703.88,22
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,130,4257395.12,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,131,4280324.41,20
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,132,4826340.56,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,133,4832637.47,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,134,4274996.86,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,135,4789375.66,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,136,4279202.11,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,137,4881651.19,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,138,4119946.19,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,139,4134484.27,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,140,4989850.81,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,141,4189813.3,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,142,4193922.16,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,143,3806175.22,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,144,4285036.56,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,145,4374861.77,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,146,3741576.09,21
