,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
14478,m03,SSD,1200000,32768,1024,16,64,1,initial-writers,4539696.89,20
14479,m03,SSD,1200000,32768,1024,16,64,2,rewriters,5359133.02,20
14480,m03,SSD,1200000,32768,1024,16,64,3,random-readers,12923364.69,20
14481,m03,SSD,1200000,32768,1024,16,64,4,random-writers,5573569.03,20
16948,m03,SSD,1200000,32768,1024,16,65,1,initial-writers,4540714.31,21
16949,m03,SSD,1200000,32768,1024,16,65,2,rewriters,5635874.58,21
16950,m03,SSD,1200000,32768,1024,16,65,3,random-readers,12750589.94,21
16951,m03,SSD,1200000,32768,1024,16,65,4,random-writers,5571210.48,21
14068,m03,SSD,1200000,32768,1024,16,66,1,initial-writers,4551256.36,21
14069,m03,SSD,1200000,32768,1024,16,66,2,rewriters,5593916.62,21
14070,m03,SSD,1200000,32768,1024,16,66,3,random-readers,12384490.38,21
14071,m03,SSD,1200000,32768,1024,16,66,4,random-writers,5763016.08,21
16980,m03,SSD,1200000,32768,1024,16,67,1,initial-writers,4575973.86,21
16981,m03,SSD,1200000,32768,1024,16,67,2,rewriters,6027690.66,21
16982,m03,SSD,1200000,32768,1024,16,67,3,random-readers,14271314.62,21
16983,m03,SSD,1200000,32768,1024,16,67,4,random-writers,5877675.69,21
10930,m03,SSD,1200000,32768,1024,16,68,1,initial-writers,4644126.45,21
10931,m03,SSD,1200000,32768,1024,16,68,2,rewriters,5491646.08,21
10932,m03,SSD,1200000,32768,1024,16,68,3,random-readers,13321979.03,21
10933,m03,SSD,1200000,32768,1024,16,68,4,random-writers,6030988.53,21
10074,m03,SSD,1200000,32768,1024,16,69,1,initial-writers,4567156.75,21
10075,m03,SSD,1200000,32768,1024,16,69,2,rewriters,5680841.06,21
10076,m03,SSD,1200000,32768,1024,16,69,3,random-readers,12513214.44,21
10077,m03,SSD,1200000,32768,1024,16,69,4,random-writers,5793089.28,21
9514,m03,SSD,1200000,32768,1024,16,70,1,initial-writers,4704246.11,21
9515,m03,SSD,1200000,32768,1024,16,70,2,rewriters,5385482.22,21
