,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
1314,m04,SSD,1200000,32768,1024,16,14,3,random-readers,10768944.28,21,92993989,897411623,9180037,5508279,17595006,5936306,617651717,21106,2481,8022596886,660088,886695772,72100,154267,3095715008,25430
1315,m04,SSD,1200000,32768,1024,16,14,4,random-writers,5838281.39,21,92993989,897411623,9180037,5508279,17595006,5936306,617651717,21106,2481,8022596886,660088,886695772,72100,154267,3095715008,25430
5010,m04,SSD,1200000,32768,1024,16,15,1,initial-writers,4145212.61,21,97183164,906634892,9677576,5508312,17996953,5938301,594799694,21169,2603,8209770183,841936,903100949,96048,220029,2928219042,25512
5011,m04,SSD,1200000,32768,1024,16,15,2,rewriters,5594076.84,21,97183164,906634892,9677576,5508312,17996953,5938301,594799694,21169,2603,8209770183,841936,903100949,96048,220029,2928219042,25512
5012,m04,SSD,1200000,32768,1024,16,15,3,random-readers,11725354.44,21,97183164,906634892,9677576,5508312,17996953,5938301,594799694,21169,2603,8209770183,841936,903100949,96048,220029,2928219042,25512
5013,m04,SSD,1200000,32768,1024,16,15,4,random-writers,6044395.38,21,97183164,906634892,9677576,5508312,17996953,5938301,594799694,21169,2603,8209770183,841936,903100949,96048,220029,2928219042,25512
7044,m04,SSD,1200000,32768,1024,16,16,1,initial-writers,4070947.09,22,104335863,976649374,9313922,6475548,20393689,6143707,653995205,21812,3688,9084818004,620066,894082807,64709,147984,3148677653,25246
7045,m04,SSD,1200000,32768,1024,16,16,2,rewriters,5434668.62,22,104335863,976649374,9313922,6475548,20393689,6143707,653995205,21812,3688,9084818004,620066,894082807,64709,147984,3148677653,25246
7046,m04,SSD,1200000,32768,1024,16,16,3,random-readers,11261376.62,22,104335863,976649374,9313922,6475548,20393689,6143707,653995205,21812,3688,9084818004,620066,894082807,64709,147984,3148677653,25246
7047,m04,SSD,1200000,32768,1024,16,16,4,random-writers,6112303.62,22,104335863,976649374,9313922,6475548,20393689,6143707,653995205,21812,3688,9084818004,620066,894082807,64709,147984,3148677653,25246
662,m04,SSD,1200000,32768,1024,16,17,1,initial-writers,4165780.56,21,101258108,879960811,9519205,6020144,18694684,6138377,604844748,21174,2458,8529047361,761193,927531670,80856,187077,2956342798,25601
663,m04,SSD,1200000,32768,1024,16,17,2,rewriters,5857794.66,21,101258108,879960811,9519205,6020144,18694684,6138377,604844748,21174,2458,8529047361,761193,927531670,80856,187077,2956342798,25601
664,m04,SSD,1200000,32768,1024,16,17,3,random-readers,11952990.00,21,101258108,879960811,9519205,6020144,18694684,6138377,604844748,21174,2458,8529047361,761193,927531670,80856,187077,2956342798,25601
665,m04,SSD,1200000,32768,1024,16,17,4,random-writers,6052982.38,21,101258108,879960811,9519205,6020144,18694684,6138377,604844748,21174,2458,8529047361,761193,927531670,80856,187077,2956342798,25601
7236,m04,SSD,1200000,32768,1024,16,18,1,initial-writers,4215915.17,21,95729257,938142013,9690176,5960391,18097988,6185549,660197648,20875,2552,8328772875,709197,864198984,64231,176734,3227244765,25489
7237,m04,SSD,1200000,32768,1024,16,18,2,rewriters,5978488.62,21,95729257,938142013,9690176,5960391,18097988,6185549,660197648,20875,2552,8328772875,709197,864198984,64231,176734,3227244765,25489
7238,m04,SSD,1200000,32768,1024,16,18,3,random-readers,12525845.75,21,95729257,938142013,9690176,5960391,18097988,6185549,660197648,20875,2552,8328772875,709197,864198984,64231,176734,3227244765,25489
7239,m04,SSD,1200000,32768,1024,16,18,4,random-writers,5828457.00,21,95729257,938142013,9690176,5960391,18097988,6185549,660197648,20875,2552,8328772875,709197,864198984,64231,176734,3227244765,25489
3020,m04,SSD,1200000,32768,1024,16,19,1,initial-writers,4142213.09,21,93730959,882496841,9122165,6432834,18580930,6084714,648926299,21519,2371,8298684482,524495,878399784,69098,106578,3172640152,25403
3021,m04,SSD,1200000,32768,1024,16,19,2,rewriters,5773350.31,21,93730959,882496841,9122165,6432834,18580930,6084714,648926299,21519,2371,8298684482,524495,878399784,69098,106578,3172640152,25403
3022,m04,SSD,1200000,32768,1024,16,19,3,random-readers,13548184.44,21,93730959,882496841,9122165,6432834,18580930,6084714,648926299,21519,2371,8298684482,524495,878399784,69098,106578,3172640152,25403
3023,m04,SSD,1200000,32768,1024,16,19,4,random-writers,5681655.94,21,93730959,882496841,9122165,6432834,18580930,6084714,648926299,21519,2371,8298684482,524495,878399784,69098,106578,3172640152,25403
2110,m04,SSD,1200000,32768,1024,16,20,1,initial-writers,4164397.00,21,94969058,839739772,7828794,8270676,21227243,5728097,591148190,15991,1740,7985495204,352245,924027810,37322,70091,2925844397,25611
2111,m04,SSD,1200000,32768,1024,16,20,2,rewriters,5483233.02,21,94969058,839739772,7828794,8270676,21227243,5728097,591148190,15991,1740,7985495204,352245,924027810,37322,70091,2925844397,25611
2112,m04,SSD,1200000,32768,1024,16,20,3,random-readers,13293482.69,21,94969058,839739772,7828794,8270676,21227243,5728097,591148190,15991,1740,7985495204,352245,924027810,37322,70091,2925844397,25611
2113,m04,SSD,1200000,32768,1024,16,20,4,random-writers,6053507.56,21,94969058,839739772,7828794,8270676,21227243,5728097,591148190,15991,1740,7985495204,352245,924027810,37322,70091,2925844397,25611
4512,m04,SSD,1200000,32768,1024,16,21,1,initial-writers,4127504.05,21,102359316,835528462,8327595,8296875,23070546,5555689,613503607,16118,1764,8322843033,358376,975242071,62726,93641,3174929940,25619
4513,m04,SSD,1200000,32768,1024,16,21,2,rewriters,6050087.34,21,102359316,835528462,8327595,8296875,23070546,5555689,613503607,16118,1764,8322843033,358376,975242071,62726,93641,3174929940,25619
