,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
2112,m03,SSD,1200000,32768,1024,16,20,3,random-readers,11042755.94,22,100337574,921287276,9967047,6253988,24084045,5930171,591572612,12244,1799,15434293570,890500,874521778,112551,258565,2826353789,25412
2113,m03,SSD,1200000,32768,1024,16,20,4,random-writers,6806309.62,22,100337574,921287276,9967047,6253988,24084045,5930171,591572612,12244,1799,15434293570,890500,874521778,112551,258565,2826353789,25412
4512,m03,SSD,1200000,32768,1024,16,21,1,initial-writers,4760591.03,21,95652365,960998706,9490077,5071529,19641774,5998542,617736762,12216,1886,15446015944,750687,833177907,123122,200576,2958907352,25547
4513,m03,SSD,1200000,32768,1024,16,21,2,rewriters,5987430.88,21,95652365,960998706,9490077,5071529,19641774,5998542,617736762,12216,1886,15446015944,750687,833177907,123122,200576,2958907352,25547
4514,m03,SSD,1200000,32768,1024,16,21,3,random-readers,10713491.84,21,95652365,960998706,9490077,5071529,19641774,5998542,617736762,12216,1886,15446015944,750687,833177907,123122,200576,2958907352,25547
4515,m03,SSD,1200000,32768,1024,16,21,4,random-writers,6535245.78,21,95652365,960998706,9490077,5071529,19641774,5998542,617736762,12216,1886,15446015944,750687,833177907,123122,200576,2958907352,25547
4074,m03,SSD,1200000,32768,1024,16,22,1,initial-writers,4690722.72,21,99330034,927402543,9998258,5548051,20952034,5861097,605755881,12336,1978,15677065087,645052,842255034,136766,161702,2933538352,25689
4075,m03,SSD,1200000,32768,1024,16,22,2,rewriters,6294204.00,21,99330034,927402543,9998258,5548051,20952034,5861097,605755881,12336,1978,15677065087,645052,842255034,136766,161702,2933538352,25689
4076,m03,SSD,1200000,32768,1024,16,22,3,random-readers,12478240.38,21,99330034,927402543,9998258,5548051,20952034,5861097,605755881,12336,1978,15677065087,645052,842255034,136766,161702,2933538352,25689
4077,m03,SSD,1200000,32768,1024,16,22,4,random-writers,6551718.12,21,99330034,927402543,9998258,5548051,20952034,5861097,605755881,12336,1978,15677065087,645052,842255034,136766,161702,2933538352,25689
1408,m03,SSD,1200000,32768,1024,16,23,1,initial-writers,4834402.06,21,99121357,903732373,10005778,5860213,22744543,5845693,593019601,11976,1411,15628141682,934538,882731535,99771,297760,2870886443,25383
1409,m03,SSD,1200000,32768,1024,16,23,2,rewriters,6097410.09,21,99121357,903732373,10005778,5860213,22744543,5845693,593019601,11976,1411,15628141682,934538,882731535,99771,297760,2870886443,25383
1410,m03,SSD,1200000,32768,1024,16,23,3,random-readers,9631499.44,21,99121357,903732373,10005778,5860213,22744543,5845693,593019601,11976,1411,15628141682,934538,882731535,99771,297760,2870886443,25383
1411,m03,SSD,1200000,32768,1024,16,23,4,random-writers,6373362.66,21,99121357,903732373,10005778,5860213,22744543,5845693,593019601,11976,1411,15628141682,934538,882731535,99771,297760,2870886443,25383
7308,m03,SSD,1200000,32768,1024,16,24,1,initial-writers,4773766.06,21,98015722,943134873,10126193,5312765,19784046,5864016,601586575,12290,1715,15225826034,740154,840595066,134913,251231,2853451125,25535
7309,m03,SSD,1200000,32768,1024,16,24,2,rewriters,6400466.88,21,98015722,943134873,10126193,5312765,19784046,5864016,601586575,12290,1715,15225826034,740154,840595066,134913,251231,2853451125,25535
7310,m03,SSD,1200000,32768,1024,16,24,3,random-readers,11109556.62,21,98015722,943134873,10126193,5312765,19784046,5864016,601586575,12290,1715,15225826034,740154,840595066,134913,251231,2853451125,25535
7311,m03,SSD,1200000,32768,1024,16,24,4,random-writers,6771998.78,21,98015722,943134873,10126193,5312765,19784046,5864016,601586575,12290,1715,15225826034,740154,840595066,134913,251231,2853451125,25535
3282,m03,SSD,1200000,32768,1024,16,25,1,initial-writers,4876233.25,21,91256684,955405328,9310471,6420633,20342976,5771650,606614276,11889,1345,15826975906,510011,819749046,140413,175447,2957429161,25270
3283,m03,SSD,1200000,32768,1024,16,25,2,rewriters,6123822.78,21,91256684,955405328,9310471,6420633,20342976,5771650,606614276,11889,1345,15826975906,510011,819749046,140413,175447,2957429161,25270
3284,m03,SSD,1200000,32768,1024,16,25,3,random-readers,12205582.62,21,91256684,955405328,9310471,6420633,20342976,5771650,606614276,11889,1345,15826975906,510011,819749046,140413,175447,2957429161,25270
3285,m03,SSD,1200000,32768,1024,16,25,4,random-writers,6094081.19,21,91256684,955405328,9310471,6420633,20342976,5771650,606614276,11889,1345,15826975906,510011,819749046,140413,175447,2957429161,25270
1062,m03,SSD,1200000,32768,1024,16,26,1,initial-writers,4835229.81,21,93127861,974184114,8955477,5294426,19237613,5946677,639406405,11765,1341,16045776939,590241,782551314,115878,157803,3032460081,25412
1063,m03,SSD,1200000,32768,1024,16,26,2,rewriters,5791896.72,21,93127861,974184114,8955477,5294426,19237613,5946677,639406405,11765,1341,16045776939,590241,782551314,115878,157803,3032460081,25412
1064,m03,SSD,1200000,32768,1024,16,26,3,random-readers,12556389.47,21,93127861,974184114,8955477,5294426,19237613,5946677,639406405,11765,1341,16045776939,590241,782551314,115878,157803,3032460081,25412
1065,m03,SSD,1200000,32768,1024,16,26,4,random-writers,6292969.41,21,93127861,974184114,8955477,5294426,19237613,5946677,639406405,11765,1341,16045776939,590241,782551314,115878,157803,3032460081,25412
4900,m03,SSD,1200000,32768,1024,16,27,1,initial-writers,4847728.00,21,86989233,984431746,8395945,5567780,19614404,6156439,673205412,12036,1639,15065197311,386512,753910204,125314,137805,3122976510,25496
4901,m03,SSD,1200000,32768,1024,16,27,2,rewriters,5962861.72,21,86989233,984431746,8395945,5567780,19614404,6156439,673205412,12036,1639,15065197311,386512,753910204,125314,137805,3122976510,25496
4902,m03,SSD,1200000,32768,1024,16,27,3,random-readers,12428865.52,21,86989233,984431746,8395945,5567780,19614404,6156439,673205412,12036,1639,15065197311,386512,753910204,125314,137805,3122976510,25496
4903,m03,SSD,1200000,32768,1024,16,27,4,random-writers,6670849.47,21,86989233,984431746,8395945,5567780,19614404,6156439,673205412,12036,1639,15065197311,386512,753910204,125314,137805,3122976510,25496
3632,m03,SSD,1200000,32768,1024,16,28,1,initial-writers,4795935.00,21,99052152,1005773116,9261422,5426800,21187136,6176779,653927538,11622,1157,16056942996,693380,737463794,106788,188242,3034216503,25441
3633,m03,SSD,1200000,32768,1024,16,28,2,rewriters,5868706.59,21,99052152,1005773116,9261422,5426800,21187136,6176779,653927538,11622,1157,16056942996,693380,737463794,106788,188242,3034216503,25441
3634,m03,SSD,1200000,32768,1024,16,28,3,random-readers,11690612.50,21,99052152,1005773116,9261422,5426800,21187136,6176779,653927538,11622,1157,16056942996,693380,737463794,106788,188242,3034216503,25441
3635,m03,SSD,1200000,32768,1024,16,28,4,random-writers,6814398.97,21,99052152,1005773116,9261422,5426800,21187136,6176779,653927538,11622,1157,16056942996,693380,737463794,106788,188242,3034216503,25441
4944,m03,SSD,1200000,32768,1024,16,29,1,initial-writers,4828751.66,21,95753192,907221620,9465039,5480431,20566559,5710009,583342161,11658,1367,15133770009,783492,859822991,111572,261484,2768012237,25572
4945,m03,SSD,1200000,32768,1024,16,29,2,rewriters,6452221.75,21,95753192,907221620,9465039,5480431,20566559,5710009,583342161,11658,1367,15133770009,783492,859822991,111572,261484,2768012237,25572
4946,m03,SSD,1200000,32768,1024,16,29,3,random-readers,12160556.56,21,95753192,907221620,9465039,5480431,20566559,5710009,583342161,11658,1367,15133770009,783492,859822991,111572,261484,2768012237,25572
4947,m03,SSD,1200000,32768,1024,16,29,4,random-writers,6240618.56,21,95753192,907221620,9465039,5480431,20566559,5710009,583342161,11658,1367,15133770009,783492,859822991,111572,261484,2768012237,25572
5334,m03,SSD,1200000,32768,1024,16,30,1,initial-writers,4813108.81,21,94023233,967390474,9490385,5795116,19916844,6067843,633606816,11894,1479,15792306962,611049,816708886,131337,184322,3052422098,25373
5335,m03,SSD,1200000,32768,1024,16,30,2,rewriters,6311376.50,21,94023233,967390474,9490385,5795116,19916844,6067843,633606816,11894,1479,15792306962,611049,816708886,131337,184322,3052422098,25373
5336,m03,SSD,1200000,32768,1024,16,30,3,random-readers,12303999.31,21,94023233,967390474,9490385,5795116,19916844,6067843,633606816,11894,1479,15792306962,611049,816708886,131337,184322,3052422098,25373
5337,m03,SSD,1200000,32768,1024,16,30,4,random-writers,5469741.77,21,94023233,967390474,9490385,5795116,19916844,6067843,633606816,11894,1479,15792306962,611049,816708886,131337,184322,3052422098,25373
1536,m03,SSD,1200000,32768,1024,16,31,1,initial-writers,4879193.53,21,86943762,943677586,9050212,4954968,18615192,6130175,618668206,12057,1202,14890495837,772891,840290637,154150,211791,2965694054,25440
1537,m03,SSD,1200000,32768,1024,16,31,2,rewriters,6747426.38,21,86943762,943677586,9050212,4954968,18615192,6130175,618668206,12057,1202,14890495837,772891,840290637,154150,211791,2965694054,25440
1538,m03,SSD,1200000,32768,1024,16,31,3,random-readers,13095687.30,21,86943762,943677586,9050212,4954968,18615192,6130175,618668206,12057,1202,14890495837,772891,840290637,154150,211791,2965694054,25440
1539,m03,SSD,1200000,32768,1024,16,31,4,random-writers,6064538.22,21,86943762,943677586,9050212,4954968,18615192,6130175,618668206,12057,1202,14890495837,772891,840290637,154150,211791,2965694054,25440
8328,m03,SSD,1200000,32768,1024,16,32,1,initial-writers,4838786.47,21,91118840,954129345,9664975,4870857,18478851,6026153,624147537,11587,1294,14708044696,774478,762639005,124585,219662,2947336947,25533
8329,m03,SSD,1200000,32768,1024,16,32,2,rewriters,5508244.66,21,91118840,954129345,9664975,4870857,18478851,6026153,624147537,11587,1294,14708044696,774478,762639005,124585,219662,2947336947,25533
8330,m03,SSD,1200000,32768,1024,16,32,3,random-readers,11354687.45,21,91118840,954129345,9664975,4870857,18478851,6026153,624147537,11587,1294,14708044696,774478,762639005,124585,219662,2947336947,25533
8331,m03,SSD,1200000,32768,1024,16,32,4,random-writers,6559081.50,21,91118840,954129345,9664975,4870857,18478851,6026153,624147537,11587,1294,14708044696,774478,762639005,124585,219662,2947336947,25533
7650,m03,SSD,1200000,32768,1024,16,33,1,initial-writers,4854863.25,21,91452001,965507698,9833687,4985413,18802936,6025982,602805189,11764,1308,14661169983,748999,796614082,91991,204094,2811591003,25510
7651,m03,SSD,1200000,32768,1024,16,33,2,rewriters,6326338.41,21,91452001,965507698,9833687,4985413,18802936,6025982,602805189,11764,1308,14661169983,748999,796614082,91991,204094,2811591003,25510
7652,m03,SSD,1200000,32768,1024,16,33,3,random-readers,10741970.05,21,91452001,965507698,9833687,4985413,18802936,6025982,602805189,11764,1308,14661169983,748999,796614082,91991,204094,2811591003,25510
7653,m03,SSD,1200000,32768,1024,16,33,4,random-writers,6880902.59,21,91452001,965507698,9833687,4985413,18802936,6025982,602805189,11764,1308,14661169983,748999,796614082,91991,204094,2811591003,25510
1364,m03,SSD,1200000,32768,1024,16,34,1,initial-writers,4759248.31,21,92292809,963985413,9181640,4844362,19171534,6039268,623135526,12059,1865,14371294872,698789,807739108,173349,254979,2919367416,25668
1365,m03,SSD,1200000,32768,1024,16,34,2,rewriters,6026415.97,21,92292809,963985413,9181640,4844362,19171534,6039268,623135526,12059,1865,14371294872,698789,807739108,173349,254979,2919367416,25668
1366,m03,SSD,1200000,32768,1024,16,34,3,random-readers,13006452.62,21,92292809,963985413,9181640,4844362,19171534,6039268,623135526,12059,1865,14371294872,698789,807739108,173349,254979,2919367416,25668
1367,m03,SSD,1200000,32768,1024,16,34,4,random-writers,6606102.77,21,92292809,963985413,9181640,4844362,19171534,6039268,623135526,12059,1865,14371294872,698789,807739108,173349,254979,2919367416,25668
