Policy,Max Steps,Adaptive,Avg Max Changes,Avg Avg Changes,Avg L2,Max Changes,Avg Changes,L2
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,14,2.857142857142857,1.182978282188185
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.125,0.0028318866923422834
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0007972651663783455
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.2,0.0002743154599617739
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.00840330813656315
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,114,13.88888888888889,0.014183496580218825
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0532209311774882
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.00010116277774631989
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.026226907146339302
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,8,1.875,2.7522486701273827
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.008475995897352004
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.009731264999541248
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.004039955183174904
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,7,2.111111111111111,928.4207791433031
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,3.95753165930374
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,1.2013505348633393
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,2.2664919416150444
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.05349221317873013
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.5166032733521416
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,2,1.1111111111111112,294.23678131435906
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.11365289301925972
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.004695560752436527
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,9,3.3333333333333335,0.012038307568479172
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.0006018908001511694
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,2.0765642928378267
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.0077831871019649395
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.00045233965792975257
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.03487970722390428
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.01597933234887771
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.0003844773132319753
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,9,2.0,0.007446873638327434
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,2,1.1666666666666667,0.30459145562761225
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.014609022588654154
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.012390308188695536
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,8,2.5555555555555554,0.14694775241853264
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.004133434688648721
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,0.007943026884200866
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,1,1.0,2.039788444955558
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,2,1.1666666666666667,0.018680944847851048
Adaptive,1000,0.05,2.78,1.2951450216450218,54.06163318692106,11,2.75,0.01857339669524802
