ID Media Frequency File.Size Record.Size Num.Threads Test runs distcomp disname
12850 SSD 3500000 256 256 1 rewriters 450 4 lnormcomp
12913 SSD 3500000 256 128 16 initial_writers 450 1 weibullcomp
12914 SSD 3500000 256 128 16 rewriters 450 3 normcomp
13021 SSD 3500000 256 128 24 initial_writers 450 2 normcomp
13022 SSD 3500000 256 128 24 rewriters 450 3 normcomp
13057 SSD 2000000 4 4 1 initial_writers 600 5 normcomp
13058 SSD 2000000 4 4 1 rewriters 600 5 normcomp
13129 SSD 3500000 256 128 32 initial_writers 450 2 weibullcomp
13130 SSD 3500000 256 128 32 rewriters 450 4 lnormcomp
13237 SSD 3500000 256 128 40 initial_writers 450 1 weibullcomp
13238 SSD 3500000 256 128 40 rewriters 450 3 lnormcomp
13317 SSD 2000000 4 4 8 initial_writers 600 2 lnormcomp
13318 SSD 2000000 4 4 8 rewriters 600 4 lnormcomp
13347 SSD 3500000 256 128 48 initial_writers 450 1 weibullcomp
13348 SSD 3500000 256 128 48 rewriters 450 4 lnormcomp
13455 SSD 3500000 256 128 56 initial_writers 450 2 normcomp
13456 SSD 3500000 256 128 56 rewriters 450 3 normcomp
13563 SSD 3500000 256 128 64 initial_writers 450 1 weibullcomp
13564 SSD 3500000 256 128 64 rewriters 450 3 normcomp
13761 SSD 3500000 256 256 8 initial_writers 450 2 lnormcomp
13762 SSD 3500000 256 256 8 rewriters 450 5 lnormcomp
13861 SSD 3500000 256 256 16 initial_writers 450 2 lnormcomp
13862 SSD 3500000 256 256 16 rewriters 450 4 lnormcomp
13961 SSD 3500000 256 256 24 initial_writers 450 2 normcomp
13962 SSD 3500000 256 256 24 rewriters 450 5 normcomp
14061 SSD 3500000 256 256 32 initial_writers 450 2 normcomp
14062 SSD 3500000 256 256 32 rewriters 450 5 lnormcomp
14161 SSD 3500000 256 256 40 initial_writers 450 2 normcomp
14162 SSD 3500000 256 256 40 rewriters 450 5 lnormcomp
14261 SSD 3500000 256 256 48 initial_writers 450 2 lnormcomp
14262 SSD 3500000 256 256 48 rewriters 450 5 lnormcomp
14361 SSD 3500000 256 256 56 initial_writers 450 2 lnormcomp
14362 SSD 3500000 256 256 56 rewriters 450 4 normcomp
14461 SSD 3500000 256 256 64 initial_writers 450 2 lnormcomp
14462 SSD 3500000 256 256 64 rewriters 450 4 normcomp
14561 SSD 3500000 1024 4 1 initial_writers 450 3 lnormcomp
14562 SSD 3500000 1024 4 1 rewriters 450 5 normcomp
14661 SSD 3500000 1024 4 8 initial_writers 450 2 lnormcomp
14662 SSD 3500000 1024 4 8 rewriters 450 4 normcomp
14761 SSD 3500000 1024 4 16 initial_writers 450 3 normcomp
14762 SSD 3500000 1024 4 16 rewriters 450 2 normcomp
14861 SSD 3500000 1024 4 24 initial_writers 450 2 lnormcomp
14862 SSD 3500000 1024 4 24 rewriters 450 3 normcomp
