Policy,Max Steps,Min Changes,Max Changes,Avg Changes,L2
Fixed Step,128,1,17,5.571428571428571,0.015379758607094686
Fixed Step,128,1,1,1.0,0.00413272385639558
Fixed Step,128,1,1,1.0,187.52157311201333
Fixed Step,128,1,1,1.0,2.0479170643057127
Fixed Step,128,1,1,1.0,0.4179815613632476
Fixed Step,128,1,1,1.0,0.6741389580899022
Fixed Step,128,1,1,1.0,0.13528131539327828
Fixed Step,128,1,1,1.0,0.25107741783164356
Fixed Step,128,1,4,1.3333333333333333,3.714685934135949
Fixed Step,128,1,15,4.111111111111111,0.10386813193888869
Fixed Step,128,1,1,1.0,0.0027753098547972266
Fixed Step,128,1,47,7.714285714285714,0.012902671269848856
Fixed Step,128,1,3,1.3333333333333333,0.009405588736167285
Fixed Step,128,1,1,1.0,0.011238967022326112
